user_id,X_train_rows,X_test_rows,train_accuracy,test_accuracy
KYeLSM3MQpirmHukVV5Iow,118,30,0.593220338983,0.333333333333
4LOUTfHA1tZQ7qyNDLQuow,162,41,0.623456790123,0.365853658537
SEDFpR4oMPKqXMjbJiMGog,98,25,0.663265306122,0.44
k3itmpGK28_JGNXnAo8W6Q,116,29,0.637931034483,0.310344827586
4TmAgCeJMt1lIOfjmWmdWg,98,25,0.663265306122,0.56
qW10n0kfwZB4Hr5U2QEwmA,90,23,0.766666666667,0.478260869565
nEYPahVwXGD2Pjvgkm7QqQ,369,93,0.563685636856,0.430107526882
wFweIWhv2fREZV_dYkz_1g,193,49,0.544041450777,0.408163265306
vyiHjaQlESGcXgEfEmH4ow,82,21,0.548780487805,0.428571428571
YGE3-Iyifex1DZna-v86Ig,80,21,0.6125,0.47619047619
ur4rzCNhpYSDFfv9FGq0lA,96,24,0.677083333333,0.416666666667
U3MGgH3Xx7rq9SqXEMv-Kw,85,22,0.635294117647,0.454545454545
E4-lxS36_PSzy17b4a-Hkg,93,24,0.634408602151,0.666666666667
CInFos81Gf4dkBJQL-1jGg,100,25,0.73,0.6
-hwN2juKYn-KTxa2WBYLnw,120,30,0.633333333333,0.3
wY05e7eTtMLvkg0bcZ6zwA,139,35,0.604316546763,0.285714285714
7ewE_dDxjXNppOj0EhhMIQ,156,40,0.641025641026,0.4
f7Hv9J9GTTXd3XsfRgt3Pw,129,33,0.651162790698,0.333333333333
GhFrTrE3xGzb4jO5ReSloQ,93,24,0.591397849462,0.291666666667
DSWiwtUyWK1YwY8NBKDhGg,124,32,0.701612903226,0.53125
kffxYQVQsEpF1DVlQlcGCg,153,39,0.640522875817,0.487179487179
UPtysDF6cUDUxq2KY-6Dcg,128,33,0.53125,0.484848484848
pEVf8GRshP9HUkSpizc9LA,646,162,0.681114551084,0.66049382716
ZmIgP4U4Ht9CYmNX0_zP6w,109,28,0.706422018349,0.392857142857
1pL-KrRvHcypkMVLd0MNtQ,165,42,0.648484848485,0.261904761905
MZBF4LqZrT5yefELVbUhfg,105,27,0.580952380952,0.62962962963
_X-U6kqTsjBZnaMWmOKusA,84,21,0.630952380952,0.238095238095
DnwHp_A92KvllfaUIdFraw,90,23,0.755555555556,0.695652173913
XIdwbElNKuJKJHrKfxIt2Q,111,28,0.657657657658,0.571428571429
--65q1FpAL_UQtVZ2PTGew,112,29,0.633928571429,0.551724137931
47Axeg0deIegNhwatMhC9A,88,23,0.647727272727,0.478260869565
gUr8qs00wFAk851yHMlgRQ,160,41,0.64375,0.463414634146
PZOSzR6fS3utCB9UlLXs-Q,90,23,0.666666666667,0.304347826087
-xPKyCJiK9q1OFZ7GCZwBw,128,33,0.7421875,0.606060606061
C8ZTiwa7qWoPSMIivTeSfw,152,39,0.671052631579,0.435897435897
2hXL2ExBsgjJNpm6BJy0lg,108,28,0.611111111111,0.464285714286
yj4lNvmxAt42NvBCxB3WTw,179,45,0.569832402235,0.488888888889
